diseaseLabel,symptomLabel
bubonic plague,chills
bubonic plague,prostration
lactose intolerance,diarrhea
lactose intolerance,flatulence
lactose intolerance,abdominal pain
lactose intolerance,borborygmus
lactose intolerance,bloating
chikungunya,headache
chikungunya,fatigue
chikungunya,fever
chikungunya,conjunctivitis
chikungunya,nausea
chikungunya,myalgia
chikungunya,rash
chikungunya,arthralgia
chikungunya,neurological disorder
cystitis,inflammation
foodborne illness,headache
foodborne illness,diarrhea
foodborne illness,poisoning
foodborne illness,vomiting
foodborne illness,abdominal pain
kuru,headache
kuru,obesity
kuru,major depressive disorder
kuru,dementia
kuru,strabismus
kuru,tremor
kuru,muscle weakness
kuru,pressure ulcer
kuru,arthralgia
kuru,diplopia
kuru,speech disorder
kuru,mood swing
kuru,dizziness
uveitis,inflammation
achlorhydria,diarrhea
mercury poisoning,headache
mercury poisoning,fatigue
mercury poisoning,irritability
mercury poisoning,cough
mercury poisoning,diarrhea
mercury poisoning,arterial hypertension
mercury poisoning,irritation
mercury poisoning,bronchitis
mercury poisoning,dyspnea
mercury poisoning,tachycardia
mercury poisoning,tremor
mercury poisoning,anorexia
mercury poisoning,proteinuria
mercury poisoning,dysphagia
mercury poisoning,asthenia
mercury poisoning,chest pain
mercury poisoning,weight loss
mercury poisoning,chronic renal insufficiency
mercury poisoning,respiratory failure
mercury poisoning,contact dermatitis
mercury poisoning,pulmonary edema
mercury poisoning,stomatitis
mercury poisoning,kidney disease
mercury poisoning,irritant dermatitis
mercury poisoning,insomnia
mercury poisoning,visual disturbance
mercury poisoning,abdominal cramps
mercury poisoning,saliva secretion
mercury poisoning,chemical pneumonitis
mercury poisoning,dysgeusia
mercury poisoning,eye irritation
mercury poisoning,exanthem
mercury poisoning,Gastrointestinal distress
mercury poisoning,indecision
Alström syndrome,blindness
decompression sickness,headache
decompression sickness,fatigue
decompression sickness,amnesia
decompression sickness,deafness
decompression sickness,pain
decompression sickness,paralysis
decompression sickness,vomiting
