diseaseLabel,specialtyLabel
Couvade syndrome,clinical psychology
Foreign accent syndrome,psychiatry
Foreign accent syndrome,neurology
5-alpha-reductase deficiency,medical genetics
citrullinemia,endocrinology
bicuspid aortic valve,cardiology
multidrug-resistant tuberculosis,infectious diseases
Bisphosphonate-associated osteonecrosis of the jaw,rheumatology
Bisphosphonate-associated osteonecrosis of the jaw,oral and maxillofacial surgery
coccidioidomycosis,infectious diseases
linitis plastica,oncology
Peyronie's disease,urology
diabetic ketoacidosis,endocrinology
pemphigoid,dermatology
Blue rubber bleb nevus syndrome,oncology
giant condyloma acuminatum,infectious diseases
blood coagulation disease,hematology
Bonnet–Dechaume–Blanc syndrome,medical genetics
Bowenoid papulosis,dermatology
dichromatopsia,ophthalmology
lymphedema,medical genetics
rhabdomyolysis,emergency medicine
Usher syndrome,ophthalmology
inflammatory bowel diseases,gastroenterology
onychomycosis,dermatology
onychomycosis,infectious diseases
sweating sickness,infectious diseases
Charles Bonnet syndrome,psychiatry
Charles Bonnet syndrome,ophthalmology
bronchopulmonary dysplasia,pediatrics
Acanthamoeba keratitis,ophthalmology
Acanthamoeba keratitis,infectious diseases
epidermolysis bullosa,medical genetics
expressive aphasia,neurology
osteophyte,rheumatology
primary polydipsia,psychiatry
primary polydipsia,clinical psychology
mitochondrial disease,endocrinology
hypocalcaemia,endocrinology
paraneoplastic syndrome,oncology
articular cartilage disease,rheumatology
osteomyelitis,rheumatology
osteomyelitis,podiatry
erythrasma,dermatology
proctitis,gastroenterology
folliculitis,dermatology
suicidal ideation,clinical psychology
fugue state,psychiatry
fugue state,psychology
fugue state,psychotherapy
myelodysplastic syndrome,hematology
prolactinoma,neurology
prolactinoma,oncology
prolactinoma,endocrinology
prolactinoma,neurosurgery
coxa valga,medical genetics
XY gonadal dysgenesis,medical genetics
pilonidal cyst,dermatology
liver failure,gastroenterology
liver failure,hepatology
albuminuria,obstetrics and gynaecology
albuminuria,urology
erythema marginatum,dermatology
polymyositis,neurology
polymyositis,rheumatology
buried bumper syndrome,emergency medicine
Böök syndrome,medical genetics
cancer of unknown primary origin,oncology
Caput medusae,cardiology
hypothermia,emergency medicine
cervicobrachial neuralgia,rheumatology
communication disorder,speech-language pathology
Kikuchi disease,angiology
Flail chest,emergency medicine
Cotard delusion,psychiatry
Cotard delusion,psychology
retroverted uterus,urology
chiasmal syndrome,neurology
Arnold-Chiari malformation,neurology
chondromatosis,oncology
Crimean-Congo hemorrhagic fever,infectious diseases
hyperlipidemia,endocrinology
hairy tongue,oral medicine
Chronic allograft nephropathy,urology
chronic myelomonocytic leukemia,hematology
chronic myelomonocytic leukemia,oncology
Facet syndrome,rheumatology
Clutton's joints,rheumatology
caffeine dependence,psychiatry
caffeine dependence,addiction medicine
hypermobility syndrome,genetics
hypermobility syndrome,rheumatology
